Data_Hora,idTweet,Tweet,Candidato,Tweet_limpo
2022-07-30 23:21:52+00:00,1553521287452147712,@jairbolsonaro https://t.co/7fIuluSSe0,Bolsonaro, .co/7fiulusse0
2022-07-30 23:21:51+00:00,1553521281357828099,"Republicanos oficializa Tarcísio para governo de SP e apoio a Bolsonaro 

https://t.co/OnQGaPmhpJ",Bolsonaro,republicanos oficializa tarcísio para governo de sp e apoio a bolsonaro .co/onqgapmhpj
2022-07-30 23:21:50+00:00,1553521277406674944,@FlavioBolsonaro @jairbolsonaro @tarcisiogdf É um mini Mussolini?,Bolsonaro,   é um mini mussolini?
2022-07-30 23:21:50+00:00,1553521276739796993,@folha Bolsonaro chama Lula de LADRAO,Bolsonaro, bolsonaro chama lula de ladrao
2022-07-30 23:21:49+00:00,1553521274856554497,"@AlexandredaVia1 @CarlaZambelli38 Nada meninão! Todos que apoiam Bolsonaro, o fazem de livre e espontânea vontade!!!",Bolsonaro,"  nada meninão! todos que apoiam bolsonaro, o fazem de livre e espontânea vontade!!!"
2022-07-30 23:21:48+00:00,1553521272042262530,"@SigaGazetaBR @PATRlOTAS Eu amo o meu País.
❤️ Bolsonaro ❤️
Ganha no primeiro turno 💕 https://t.co/9bypwi7ZMW",Bolsonaro,  eu amo o meu país.❤️ bolsonaro ❤️ganha no primeiro turno 💕 .co/9bypwi7zmw
2022-07-30 23:21:48+00:00,1553521269735317504,@jairbolsonaro Leo is an elite douche,Bolsonaro, leo is an elite douche
2022-07-30 23:21:47+00:00,1553521267843776512,@DamaresAlves @jairbolsonaro Eu tenho muita fé que ela vai devolver o cheque 🙏🙏,Bolsonaro,  eu tenho muita fé que ela vai devolver o cheque 🙏🙏
2022-07-30 23:21:47+00:00,1553521265108975618,"#22EBomParaV9ceEParaMim
@jairbolsonaro @BolsonaroSP @CarlosBolsonaro https://t.co/LsURpZbQnO",Bolsonaro,   .co/lsurpzbqno
2022-07-30 23:21:46+00:00,1553521261338296338,@CarlaZambelli38 @jairbolsonaro Culpa do Bolsonaro. Será que a globo vai mostrar?,Bolsonaro,  culpa do bolsonaro. será que a globo vai mostrar?
2022-07-30 23:21:45+00:00,1553521258859565057,"@jairbolsonaro Isso prova que a educação anda mal , como pode existir tanto imbecil?",Bolsonaro," isso prova que a educação anda mal , como pode existir tanto imbecil?"
2022-07-30 23:21:45+00:00,1553521258033201160,@olibertariobr @thaispsic Lutar pela pátria amada é derrotar o Bolsonaro nas próximas eleições.,Bolsonaro,  lutar pela pátria amada é derrotar o bolsonaro nas próximas eleições.
2022-07-30 23:21:45+00:00,1553521257056010241,"@PedroRonchi2 Em mais 64 dias, BOLSONARO SERÁ NOVO PRESIDENTE DO BRASIL.
Dia 02 de janeiro ele entregará a faixa para ele mesmo, é nóis na faixa.

22 Confirma?",Bolsonaro," em mais 64 dias, bolsonaro será novo presidente do brasil.dia 02 de janeiro ele entregará a faixa para ele mesmo, é nóis na faixa.22 confirma?"
2022-07-30 23:21:45+00:00,1553521256292556800,@WillianVBordin @MarceloTuliocwb @jairbolsonaro Kkkk #LulaNoPrimeiroTurno,Bolsonaro,   kkkk 
2022-07-30 23:21:41+00:00,1553521240534663168,"@DelmiraMathias @ASachsida @jairbolsonaro Moça, tu vai limpar a câmara elegendo gente do PL e PP. aí não dá",Bolsonaro,"   moça, tu vai limpar a câmara elegendo gente do pl e pp. aí não dá"
2022-07-30 23:21:41+00:00,1553521239200878595,"@FlavioBolsonaro @jairbolsonaro Nosaaa, super convincente. Nem parece forçado. https://t.co/oQt5wGyyiS",Bolsonaro,"  nosaaa, super convincente. nem parece forçado. .co/oqt5wgyyis"
2022-07-30 23:21:40+00:00,1553521237674151936,Bolsonaro certíssimo o povo qui sabe si viverão como em uma Venezuela corrupta e com ditadores ou num Brasil livre e patrióta https://t.co/a0D5jDTfma,Bolsonaro,bolsonaro certíssimo o povo qui sabe si viverão como em uma venezuela corrupta e com ditadores ou num brasil livre e patrióta .co/a0d5jdtfma
2022-07-30 23:21:40+00:00,1553521236302520321,"@alissonzinhuu @ChestherPfiste1 @marcofeliciano @jairbolsonaro País nem emprego tem ,resposta de gado mesmo kkkkk.
Ele deve ser aposentado ou funcionário publico da elite .",Bolsonaro,"    país nem emprego tem ,resposta de gado mesmo kkkkk.ele deve ser aposentado ou funcionário publico da elite ."
2022-07-30 23:21:39+00:00,1553521232343097347,"Datafolha: confiança nas urnas cresce, apesar de ataques de Bolsonaro ao sistema eleitoral

Levantamento mostra que confiança nas urnas cresceu nos últimos meses, mesmo depois de ataques do presidente às urnas em reunião com embaixadores
https://t.co/MzCz2sMHvB",Bolsonaro,"datafolha: confiança nas urnas cresce, apesar de ataques de bolsonaro ao sistema eleitorallevantamento mostra que confiança nas urnas cresceu nos últimos meses, mesmo depois de ataques do presidente às urnas em reunião com embaixadores.co/mzcz2smhvb"
2022-07-30 23:21:38+00:00,1553521228488507397,@OGloboPolitica Bolsonaro 2022 🇧🇷 https://t.co/oANYsV9ZMw,Bolsonaro, bolsonaro 2022 🇧🇷 .co/oanysv9zmw
